epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202210,2022-03-11,723,PI,,22,state,366532,11169.7161,118,7698,1,0.021,3281480,False,False
202210,2022-03-11,730,PR,,41,state,2377119,20640.37531,3011,42633,1,0.0179,11516840,False,False
202210,2022-03-11,737,RJ,,33,state,2032079,11701.35255,4443,72116,23,0.0355,17366189,False,False
202210,2022-03-11,730,RN,,24,state,484761,13716.42241,613,8094,5,0.0167,3534165,False,False
202210,2022-03-11,722,RO,,11,state,383386,21341.19324,482,7117,6,0.0186,1796460,False,False
202210,2022-03-11,721,RR,,14,state,154562,24487.74599,28,2139,0,0.0138,631181,False,False
202210,2022-03-11,732,RS,,43,state,2208004,19329.5038,5131,38685,38,0.0175,11422973,False,False
202210,2022-03-11,730,SC,,42,state,1644344,22672.78244,2907,21544,15,0.0131,7252502,False,False
202210,2022-03-11,728,SE,,28,state,322179,13894.0807,154,6281,2,0.0195,2318822,False,False
202210,2022-03-11,746,SP,,35,state,5112728,11045.15375,12183,165981,103,0.0325,46289333,False,False
202210,2022-03-11,724,TO,,17,state,300943,18924.28099,226,4131,3,0.0137,1590248,False,False
202210,2022-03-10,724,AC,,12,state,123157,13768.7122,97,1987,2,0.0161,894470,False,False
202210,2022-03-10,733,AL,,27,state,293954,8770.70651,81,6778,8,0.0231,3351543,False,False
202210,2022-03-10,728,AM,,13,state,577094,13715.14319,552,14137,3,0.0245,4207714,False,False
202210,2022-03-10,721,AP,,16,state,160198,18589.3501,29,2116,0,0.0132,861773,False,False
202210,2022-03-10,735,BA,,29,state,1514797,10145.56381,1827,29446,28,0.0194,14930634,False,False
202210,2022-03-10,725,CE,,23,state,1232805,13418.86556,529,26525,21,0.0215,9187103,False,False
202210,2022-03-10,734,DF,,53,state,687358,22498.34623,346,11497,9,0.0167,3055149,False,False
202210,2022-03-10,736,ES,,32,state,1030538,25357.40192,473,14222,1,0.0138,4064052,False,False
202210,2022-03-10,729,GO,,52,state,1207381,16972.99797,5685,25955,20,0.0215,7113540,False,False
202210,2022-03-10,721,MA,,21,state,417566,5869.14398,535,10839,1,0.026,7114598,False,False
202210,2022-03-10,733,MG,,31,state,3255023,15287.06175,5286,60153,74,0.0185,21292666,False,False
202210,2022-03-10,727,MS,,50,state,512884,18256.03671,1693,10436,6,0.0203,2809394,False,False
202210,2022-03-10,721,MT,,51,state,716129,20308.68749,1026,14793,8,0.0207,3526220,False,False
202210,2022-03-10,723,PA,,15,state,733128,8435.73249,1439,17961,15,0.0245,8690745,False,False
202210,2022-03-10,729,PB,,25,state,584306,14465.60857,742,10148,6,0.0174,4039277,False,False
202210,2022-03-10,729,PE,,26,state,858567,8927.94881,3484,21184,7,0.0247,9616621,False,False
202210,2022-03-10,722,PI,,22,state,366414,11166.12017,212,7697,3,0.021,3281480,False,False
202210,2022-03-10,729,PR,,41,state,2374108,20614.23099,4583,42632,45,0.018,11516840,False,False
202210,2022-03-10,736,RJ,,33,state,2027636,11675.76836,5219,72093,26,0.0356,17366189,False,False
202210,2022-03-10,729,RN,,24,state,484148,13699.07743,981,8089,7,0.0167,3534165,False,False
202210,2022-03-10,721,RO,,11,state,382904,21314.36269,828,7111,4,0.0186,1796460,False,False
202210,2022-03-10,720,RR,,14,state,154534,24483.30986,129,2139,2,0.0138,631181,False,False
202210,2022-03-10,731,RS,,43,state,2202873,19284.58555,5123,38647,41,0.0175,11422973,False,False
